epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.81792,1.80808,0.20339,0.89831,1.79004,2.142e-05,2.142e-05,2.142e-05
2,3.87431,1.78131,0.16949,0.89831,1.78418,4.94852e-05,4.94852e-05,4.94852e-05
3,4.28252,1.77128,0.20339,0.88136,1.77637,7.69849e-05,7.69849e-05,7.69849e-05
4,4.68349,1.69682,0.23729,0.86441,1.76855,0.000103919,0.000103919,0.000103919
5,5.09685,1.69679,0.30508,0.89831,1.75684,0.000130288,0.000130288,0.000130288
6,5.52793,1.62914,0.33898,0.9322,1.74219,0.000156091,0.000156091,0.000156091
7,5.91868,1.54924,0.35593,0.91525,1.72559,0.000181329,0.000181329,0.000181329
8,6.33037,1.50411,0.38983,0.9322,1.70312,0.000206001,0.000206001,0.000206001
9,6.74564,1.37718,0.44068,0.94915,1.67578,0.000230108,0.000230108,0.000230108
10,7.13667,1.28572,0.49153,0.9661,1.6416,0.000253649,0.000253649,0.000253649
11,7.56351,1.17906,0.57627,0.98305,1.60645,0.000276625,0.000276625,0.000276625
12,8.04121,1.10037,0.64407,0.98305,1.56152,0.000299035,0.000299035,0.000299035
13,8.54627,0.99534,0.67797,0.98305,1.52441,0.00032088,0.00032088,0.00032088
14,8.92933,0.93113,0.76271,0.98305,1.49219,0.00034216,0.00034216,0.00034216
15,9.29622,0.90497,0.83051,1,1.44336,0.000362873,0.000362873,0.000362873
16,9.6566,0.76816,0.83051,1,1.39062,0.000383022,0.000383022,0.000383022
17,10.0441,0.71522,0.89831,1,1.3418,0.000402605,0.000402605,0.000402605
18,10.4371,0.57001,0.9322,1,1.29395,0.000421622,0.000421622,0.000421622
19,10.8121,0.54238,0.9322,1,1.25684,0.000440074,0.000440074,0.000440074
20,11.1933,0.55421,0.91525,1,1.23242,0.00045796,0.00045796,0.00045796
21,11.5684,0.36731,0.89831,1,1.21777,0.000475281,0.000475281,0.000475281
22,11.9355,0.3022,0.89831,1,1.20898,0.000492037,0.000492037,0.000492037
23,12.2945,0.31028,0.88136,1,1.20508,0.000508227,0.000508227,0.000508227
24,12.6792,0.25732,0.86441,1,1.19336,0.000523851,0.000523851,0.000523851
25,13.0702,0.21157,0.86441,1,1.18359,0.00053891,0.00053891,0.00053891
26,13.4469,0.25057,0.88136,1,1.18164,0.000537285,0.000537285,0.000537285
27,13.8275,0.33976,0.88136,1,1.17969,0.000530216,0.000530216,0.000530216
28,14.2264,0.15595,0.89831,1,1.16797,0.000523148,0.000523148,0.000523148
29,14.6343,0.12586,0.91525,1,1.14746,0.000516079,0.000516079,0.000516079
30,15.0499,0.18326,0.9322,1,1.1377,0.000509011,0.000509011,0.000509011
31,15.4329,0.10747,0.94915,1,1.125,0.000501942,0.000501942,0.000501942
32,15.8313,0.08777,0.94915,1,1.11523,0.000494873,0.000494873,0.000494873
33,16.2133,0.19369,0.9661,1,1.11035,0.000487805,0.000487805,0.000487805
34,16.5976,0.10451,0.9661,1,1.10938,0.000480736,0.000480736,0.000480736
35,16.9655,0.1996,0.94915,1,1.11621,0.000473668,0.000473668,0.000473668
36,17.3314,0.0861,0.94915,1,1.11914,0.000466599,0.000466599,0.000466599
37,17.7192,0.05882,0.94915,1,1.12012,0.00045953,0.00045953,0.00045953
38,18.0916,0.08451,0.91525,1,1.12305,0.000452462,0.000452462,0.000452462
39,18.4658,0.15187,0.91525,1,1.12598,0.000445393,0.000445393,0.000445393
40,18.8455,0.17758,0.91525,1,1.12598,0.000438325,0.000438325,0.000438325
41,19.1973,0.11274,0.91525,1,1.12695,0.000431256,0.000431256,0.000431256
42,19.5758,0.12773,0.9322,1,1.12305,0.000424187,0.000424187,0.000424187
43,19.9464,0.07217,0.9322,1,1.12109,0.000417119,0.000417119,0.000417119
44,20.3143,0.15204,0.9322,1,1.11621,0.00041005,0.00041005,0.00041005
45,20.7147,0.02945,0.9322,1,1.11523,0.000402982,0.000402982,0.000402982
46,21.1231,0.08432,0.94915,1,1.11133,0.000395913,0.000395913,0.000395913
47,21.5628,0.04077,0.94915,1,1.10938,0.000388844,0.000388844,0.000388844
48,21.9548,0.20111,0.94915,1,1.10938,0.000381776,0.000381776,0.000381776
49,22.2971,0.0706,0.94915,1,1.11426,0.000374707,0.000374707,0.000374707
50,22.6799,0.0712,0.94915,1,1.11914,0.000367639,0.000367639,0.000367639
51,23.048,0.07709,0.94915,1,1.12012,0.00036057,0.00036057,0.00036057
52,23.4235,0.08357,0.9322,1,1.12207,0.000353501,0.000353501,0.000353501
53,23.7974,0.05938,0.91525,1,1.12598,0.000346433,0.000346433,0.000346433
54,24.1665,0.08826,0.91525,1,1.12305,0.000339364,0.000339364,0.000339364
